ServiceNo,Operator,Category,OriginCode,DestinationCode
118,GAS,TRUNK,65009,97009
118,GAS,TRUNK,97009,65009
118A,GAS,TRUNK,65009,96119
118B,GAS,TRUNK,96111,65191
119,GAS,TRUNK,65009,65009
12,GAS,TRUNK,77009,10499
12,GAS,TRUNK,10499,77009
12e,GAS,EXPRESS,77009,10499
12e,GAS,EXPRESS,10499,77009
136,GAS,TRUNK,54009,65009
136,GAS,TRUNK,65009,54009
15,GAS,TRUNK,77009,77009
15A,GAS,TRUNK,77009,83109
17,GAS,TRUNK,77009,84009
17,GAS,TRUNK,84009,77009
17A,GAS,TRUNK,84009,84591
2,GAS,TRUNK,99009,10499
2,GAS,TRUNK,10499,99009
2B,GAS,TRUNK,99009,84039
3,GAS,TRUNK,75009,65009
3,GAS,TRUNK,65009,75009
34,GAS,TRUNK,65009,65009
34A,GAS,TRUNK,65009,76059
34B,GAS,TRUNK,75359,75351
354,GAS,FEEDER,77009,77009
358,GAS,FEEDER,77009,77009
359,GAS,FEEDER,77009,77009
359,GAS,FEEDER,77009,77009
36,GAS,TRUNK,95129,95129
36A,GAS,TRUNK,95129,09191
36B,GAS,TRUNK,93049,93199
381,GAS,FEEDER,65009,65009
382,GAS,FEEDER,65009,65009
382,GAS,FEEDER,65009,65009
382A,GAS,FEEDER,65009,65531
382G,GAS,FEEDER,65009,65009
382W,GAS,FEEDER,65009,65009
384,GAS,FEEDER,65009,65009
386,GAS,FEEDER,65009,65009
386A,GAS,FEEDER,65009,65371
3A,GAS,TRUNK,75009,77331
403,GAS,TRUNK,77009,77009
43,GAS,TRUNK,65009,94009
43,GAS,TRUNK,94009,65009
43e,GAS,EXPRESS,65009,92051
43e,GAS,EXPRESS,92059,65009
43M,GAS,TRUNK,65009,65009
518,GAS,EXPRESS,77009,77009
518A,GAS,EXPRESS,77009,03519
6,GAS,TRUNK,77009,77009
62,GAS,TRUNK,65009,65009
62A,GAS,TRUNK,65009,81089
661,GAS,CITY_LINK,78111,03391
661,GAS,CITY_LINK,03539,78119
666,GAS,CITY_LINK,65309,03391
666,GAS,CITY_LINK,03539,65301
68,GAS,TRUNK,77009,77009
68A,GAS,TRUNK,75469,75009
68B,GAS,TRUNK,75009,75461
82,GAS,TRUNK,65009,65009
83,GAS,TRUNK,65009,65009
83T,GAS,TRUNK,65009,67009
84A,GAS,TRUNK,65009,65729
84G,GAS,TRUNK,65009,65009
84W,GAS,TRUNK,65009,65009
85,GAS,TRUNK,65009,59009
85,GAS,TRUNK,59009,65009
85A,GAS,TRUNK,59009,67441
10,SBST,TRUNK,75009,16009
10,SBST,TRUNK,16009,75009
100,SBST,TRUNK,66009,11009
100,SBST,TRUNK,11009,66009
100A,SBST,TRUNK,66009,81089
101,SBST,TRUNK,66009,66009
102,SBST,TRUNK,64009,64009
102A,SBST,TRUNK,67409,67991
102B,SBST,TRUNK,67999,67401
103,SBST,TRUNK,66009,59009
103,SBST,TRUNK,59009,66009
105,SBST,TRUNK,66009,28009
105,SBST,TRUNK,28009,66009
105B,SBST,TRUNK,28009,17179
107,SBST,TRUNK,64009,03239
107,SBST,TRUNK,03239,64009
107M,SBST,TRUNK,64009,64009
109,SBST,TRUNK,66009,99009
109,SBST,TRUNK,99009,66009
109A,SBST,TRUNK,66009,64611
10e,SBST,EXPRESS,85049,03217
10e,SBST,EXPRESS,03222,85041
11,SBST,TRUNK,80009,80009
111,SBST,TRUNK,11009,11009
112,SBST,TRUNK,64009,64009
112A,SBST,TRUNK,64009,63031
113,SBST,TRUNK,64009,64009
113A,SBST,TRUNK,63039,63031
114,SBST,TRUNK,67601,67609
114A,SBST,TRUNK,67601,66579
115,SBST,TRUNK,63221,63221
116,SBST,TRUNK,64009,64009
116A,SBST,TRUNK,66439,66359
117,SBST,TRUNK,65009,58009
117,SBST,TRUNK,58009,65009
117A,SBST,TRUNK,59779,59041
117M,SBST,TRUNK,65009,58009
117M,SBST,TRUNK,58009,65009
120,SBST,TRUNK,10499,10499
121,SBST,TRUNK,03239,03239
122,SBST,TRUNK,10499,10499
123,SBST,TRUNK,10009,14539
123,SBST,TRUNK,14539,10009
123M,SBST,TRUNK,14009,14009
124,SBST,TRUNK,52499,14009
124,SBST,TRUNK,14009,52499
125,SBST,TRUNK,52499,52499
125A,SBST,TRUNK,81081,60219
127,SBST,TRUNK,75009,75009
127A,SBST,TRUNK,75009,75519
129,SBST,TRUNK,74009,52499
129,SBST,TRUNK,52499,74009
129A,SBST,TRUNK,75229,62071
129B,SBST,TRUNK,62099,75221
13,SBST,TRUNK,55509,94009
13,SBST,TRUNK,94009,55509
130,SBST,TRUNK,54009,03239
130,SBST,TRUNK,03239,54009
131,SBST,TRUNK,52499,10009
131,SBST,TRUNK,10009,52499
131A,SBST,TRUNK,52499,03217
132,SBST,TRUNK,64009,10009
132,SBST,TRUNK,10009,64009
133,SBST,TRUNK,54009,03239
133,SBST,TRUNK,03239,54009
134,SBST,TRUNK,80289,80289
135,SBST,TRUNK,54009,83321
135,SBST,TRUNK,83321,54009
137,SBST,TRUNK,80289,94009
137,SBST,TRUNK,94009,80289
137A,SBST,TRUNK,84031,84451
138,SBST,TRUNK,54009,54009
138A,SBST,TRUNK,54009,48131
138B,SBST,TRUNK,54009,55121
139,SBST,TRUNK,52009,10009
139,SBST,TRUNK,10009,52009
139A,SBST,TRUNK,52009,52109
13A,SBST,TRUNK,54019,53231
14,SBST,TRUNK,84009,17009
14,SBST,TRUNK,17009,84009
140,SBST,TRUNK,80009,80009
141,SBST,TRUNK,80009,52009
141,SBST,TRUNK,52009,80009
142,SBST,TRUNK,52009,52009
142A,SBST,TRUNK,52009,60209
145,SBST,TRUNK,52009,11379
145,SBST,TRUNK,11379,52009
145A,SBST,TRUNK,10209,14249
146,SBST,TRUNK,62061,62069
147,SBST,TRUNK,64009,17009
147,SBST,TRUNK,17009,64009
147A,SBST,TRUNK,64009,05019
14A,SBST,TRUNK,84009,09059
14e,SBST,EXPRESS,84211,09048
14e,SBST,EXPRESS,09048,84219
150,SBST,TRUNK,82009,82009
151,SBST,TRUNK,64009,16009
151,SBST,TRUNK,16009,64009
153,SBST,TRUNK,10009,64009
153,SBST,TRUNK,64009,10009
154,SBST,TRUNK,22009,82009
154,SBST,TRUNK,82009,22009
154A,SBST,TRUNK,21551,28091
154B,SBST,TRUNK,22009,12101
155,SBST,TRUNK,52009,84009
155,SBST,TRUNK,84009,52009
156,SBST,TRUNK,67009,17009
156,SBST,TRUNK,17009,67009
157,SBST,TRUNK,52009,22009
