,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
0,False,,"[28, 10752, 36, 80, 18, 53]",1208850,ms,Takluk: Lahad Datu,"The Malaysian security forces in quelling the militant group of the Sulu Sultanate aka ""Operation Daulat"" in Lahad Datu, Sabah.",32.256,/pfYm24JuLhrkwXVqzKVRrSIPBRv.jpg,2024-08-22,Takluk: Lahad Datu,False,7.0,1
1,False,/fgcSkuv3otR5iz2VzzFnh3QOI49.jpg,"[16, 14, 12]",41498,ja,ワンピース フィルム ストロングワールド,"20 years after his escape from Impel Down, the legendary pirate Shiki, the Golden Lion, reappears causing massive upheaval to the Marines. During his long seclusion, he was able to come up with a scheme to bring the World Government to his knees. On his way to execute the plan, Shiki crosses paths with the Straw Hat Pirates and becomes so impressed with Nami's knowledge of meteorology that he abducts her to forcedly enlist her into his crew. Luffy and the gang end up on a strange land populated with monstrous beasts as they desperately search for Shiki and Nami.",32.073,/gz8ZSM9WpG9M3JtGqRTvJbyFKnm.jpg,2009-12-12,One Piece: Strong World,False,7.467,346
2,False,/zjcADbZXZSlEbRqSbRZEfq332wC.jpg,"[18, 36, 53]",848439,en,Firebrand,"Katherine Parr, the sixth wife of King Henry VIII, is named regent while the tyrant battles abroad. When the king returns, increasingly ill and paranoid, Katherine finds herself fighting for her own survival.",44.42,/kXAc1LaxL64udWr9SOAHQwOBEG0.jpg,2024-03-27,Firebrand,False,6.4,58
3,False,/7RY5uiuM97FqS5qvPHG2XW2ZruY.jpg,[18],1024592,en,God's Not Dead: In God We Trust,"In a time of profound political, civil, and spiritual turmoil, Reverend David Hill grapples with the crucial question: Does God still have a place in politics? Compelled to enter a congressional race after the sudden death of a favored incumbent, David faces off against state senator Peter Kane, a formidable opponent determined to push religion out of the public square and cause greater divide.",41.884,/ei4DJPswJ2s2tSyhVLbm1EHVxVJ.jpg,2024-09-12,God's Not Dead: In God We Trust,False,1.0,2
4,False,/FzntbxhtPGp5gVmie16ry3k7Ow.jpg,"[16, 35, 10751, 14]",567811,en,10 Lives,"A pampered cat takes for granted the lucky hand he has been dealt after he is rescued and loved by Rose, a kind-hearted and passionate student. When he loses his ninth life, fate steps in to set him on a transformative journey.",35.716,/r2D7MkNocsqKOqGnnGEQThU26JS.jpg,2024-04-18,10 Lives,False,8.4,86
5,False,/pt03n9myD99YAN7Ffzq8cxFyJjh.jpg,"[27, 9648, 53]",17111,th,ชัตเตอร์ กดติดวิญญาณ,"A young photographer Thun and his girlfriend Jane discover mysterious shadows in their photographs after fleeing the scene of an accident. As they investigate the phenomenon, they find other photographs contain similar supernatural images, that Thun's best friends are being haunted as well, and Jane discovers that her boyfriend has not told her everything. It soon becomes clear that you can not escape your past.",45.984,/zUyaVtyugDaDHtOC6kCMJhbZsWu.jpg,2004-09-09,Shutter,False,7.291,1196
6,False,/keEWjA5ykLJo851tIBFdmkxPxxh.jpg,"[27, 9648]",270303,en,It Follows,"When carefree teenager Jay sleeps with her older boyfriend for the first time, she learns that she is the latest recipient of a fatal curse that is passed from victim to victim via sexual intercourse. Death, Jay learns, will creep inexorably toward her as either a friend or a stranger. Jay's friends don't believe her seemingly paranoid ravings, until they too begin to see the phantom assassins and band together to help her defend herself.",38.803,/iwnQ1JH1wdWrGYkgWySptJ5284A.jpg,2015-02-04,It Follows,False,6.576,6275
7,False,/g3Xnh179fPVI0LiZeNoF2WW9Bib.jpg,"[18, 53]",974950,fr,Emilia Pérez,"Rita, an underrated lawyer working for a large law firm more interested in getting criminals out of jail than bringing them to justice, is hired by the leader of a criminal organization.",33.554,/r5sYdlJFys6YETQb63lvRR4fKEL.jpg,2024-08-21,Emilia Pérez,False,8.0,153
8,False,/2okfik8YwzSfdETpT5cUClSiGFO.jpg,"[16, 18]",1244492,ja,ルックバック,"Popular, outgoing Fujino is celebrated by her classmates for her funny comics in the class newspaper. One day, her teacher asks her to share the space with Kyomoto, a truant recluse whose beautiful artwork sparks a competitive fervor in Fujino. What starts as jealousy transforms when Fujino realizes their shared passion for drawing.",36.435,/oL4ab05VAvVkTwk5BL0JJDKQkfD.jpg,2024-06-28,Look Back,False,8.55,10
9,False,/mrdHbaCp3ysDrzUHle5eQlY9Vzu.jpg,"[27, 35]",747,en,Shaun of the Dead,"Shaun lives a supremely uneventful life, which revolves around his girlfriend, his mother, and, above all, his local pub. This gentle routine is threatened when the dead return to life and make strenuous attempts to snack on ordinary Londoners.",38.154,/dgXPhzNJH8HFTBjXPB177yNx6RI.jpg,2004-04-09,Shaun of the Dead,False,7.5,8302
10,False,/eqNuKqNjKAcOT6hlufhkkpxQ35F.jpg,"[18, 80]",1121612,zh,孤注一掷,"A depressed programmer and a model decide to seek gold as a seemingly good job opportunity, but they inadvertently become involved in a well-planned Internet scam.",35.678,/gjyqQD5LsNOiVIXuczw9joqjiKQ.jpg,2023-08-05,No More Bets,False,7.176,34
11,False,/u937kWuQPW1fTXdz50PDLasUI2e.jpg,"[16, 10749]",1230477,ja,映画 ギヴン 柊mix,,37.15,/uOvHjRDuJrRAgmJkUPcmnvaEqew.jpg,2024-01-27,Given The Movie : Hiiragi Mix,False,0.0,0
12,False,/ziNTYITRqa7Xy69dnaWAS3TQ69I.jpg,"[27, 53]",1014661,en,House of Spoils,"An ambitious chef opens a restaurant on a remote estate where she battles kitchen chaos, crushing self doubts… and a haunting presence who threatens to sabotage her at every turn.",23.885,/udfMAdiyKhgAS47dRXEnXo6tHt6.jpg,2024-09-21,House of Spoils,False,0.0,0
13,False,/4jdduww9j5RyzO4ITRcuBFhqNN1.jpg,[18],965150,en,Aftersun,Sophie reflects on the shared joy and private melancholy of a holiday she took with her father twenty years earlier. Memories real and imagined fill the gaps between miniDV footage as she tries to reconcile the father she knew with the man she didn't.,32.149,/evKz85EKouVbIr51zy5fOtpNRPg.jpg,2022-10-21,Aftersun,False,7.676,1326
14,False,/gNOsAqd25etsiHQk5Zo71v2VIRc.jpg,"[18, 36, 10752]",832964,en,Lee,"The story of photographer Elizabeth 'Lee' Miller, a fashion model who became an acclaimed war correspondent for Vogue magazine during World War II.",29.927,/cPtTlHWbWBmp5b61cKopyGPC92q.jpg,2024-09-12,Lee,False,6.7,9
15,False,/kwPaQ05Mix2KHwleqW6MFRvGM7U.jpg,"[28, 35, 80]",507241,en,The Killer's Game,"When a top hitman is diagnosed with a terminal illness, he decides to take matters into his own hands – by taking a hit out on himself. But when the very hitmen he hired also target his pregnant ex-girlfriend, he must fend off an army of assassin colleagues and win back the love of his life before it’s too late.",36.128,/4bKlTeOUr5AKrLky8mwWvlQqyVd.jpg,2024-09-12,The Killer's Game,False,6.0,8
16,False,/AqBxAnyHjAFtoTK9NSi2O0sjljN.jpg,"[18, 53]",1019404,en,The Wasp,"Heather bumps into Carla, having not spoken to her in years, and presents her with a very unexpected proposition that could change both of their lives forever.",40.763,/iCuQOTy1nnyPtbRn3xImcu9hvpi.jpg,2024-08-29,The Wasp,False,5.8,5
17,False,/sNOWphqcNsq7aKw1LSKcP672gwf.jpg,"[12, 28, 14, 36]",910784,ta,தங்கலான்,"During the British rule, Thangalaan, a fierce tribal leader, and his tribe assist Lord Clement, a British General, to trace gold in their village. While searching for the gold, the villagers earn the wrath of Aarathi, an apparent sorceress, who Thangalaan sets out to stop with all his might.",28.716,/dAci50FwevkdWIUzQWpdz7kSKHe.jpg,2024-08-15,Thangalaan,False,7.8,5
18,False,/jDxqjLUBpOVeKhLPJFKSyneKwF7.jpg,"[27, 35]",1112426,hi,स्त्री २,"A hollow headless creature 'Sarkata' is spreading terror in the sleepy small town of Chanderi. The trio of Vicky, Jana and Bittu, along with the wise man Rudra summon 'Stree', who has her own secrets, to save them and the town from the new monster.",30.431,/zgxpT5Q5pe3FtL99F0UOIglPGrQ.jpg,2024-08-15,Stree 2,False,6.762,21
19,False,,"[27, 9648]",1340571,en,Lord of the Wolves,"When his housemate dies under mysterious circumstances, Nic Cross inherits a mysterious pyramid-shaped contraption left at the scene, unwittingly summoning a cult of wolf-people who dwell in the dark underbelly of London.",21.136,/18noUFy5uwGFovOlfbyleYkfXng.jpg,2024-09-20,Lord of the Wolves,False,0.0,0
