,ServiceNo,Operator,Direction,Category,OriginCode,DestinationCode,AM_Peak_Freq,AM_Offpeak_Freq,PM_Peak_Freq,PM_Offpeak_Freq,LoopDesc
0,118,GAS,1,TRUNK,65009,97009,5-08,8-12,8-10,09-14,
1,118,GAS,2,TRUNK,97009,65009,10-10,8-11,4-08,9-12,
2,118A,GAS,1,TRUNK,65009,96119,06-66,-,-,-,
3,118B,GAS,1,TRUNK,96111,65191,-,-,24-57,-,
4,119,GAS,1,TRUNK,65009,65009,09-13,12-18,12-15,15-17,Hougang St 21
5,12,GAS,1,TRUNK,77009,10499,09-10,09-14,10-12,12-14,
6,12,GAS,2,TRUNK,10499,77009,10-11,09-15,08-12,12-13,
7,12e,GAS,1,EXPRESS,77009,10499,30-30,30-30,30-30,-,
8,12e,GAS,2,EXPRESS,10499,77009,-,30-30,30-30,30-30,
9,136,GAS,1,TRUNK,54009,65009,09-13,10-13,10-15,15-19,
10,136,GAS,2,TRUNK,65009,54009,08-15,11-16,10-11,17-20,
11,15,GAS,1,TRUNK,77009,77009,04-09,04-13,07-15,13-16,Marine Parade Rd
12,15A,GAS,1,TRUNK,77009,83109,09-17,-,-,-,
13,17,GAS,1,TRUNK,77009,84009,08-11,10-12,10-11,11-15,
14,17,GAS,2,TRUNK,84009,77009,05-11,05-12,05-12,05-12,
15,17A,GAS,1,TRUNK,84009,84591,04-22,10-46,10-22,22-24,Bedok Nth Dr
16,2,GAS,1,TRUNK,99009,10499,10-10,09-16,09-18,14-18,
17,2,GAS,2,TRUNK,10499,99009,08-12,09-17,09-10,10-18,
18,2B,GAS,1,TRUNK,99009,84039,18-62,-,17-55,-,
19,3,GAS,1,TRUNK,75009,65009,07-11,09-14,08-09,12-14,
20,3,GAS,2,TRUNK,65009,75009,08-10,09-15,09-12,12-17,
21,34,GAS,1,TRUNK,65009,65009,4-9,4-15,9-13,11-14,PTB2 Basement
22,34A,GAS,1,TRUNK,65009,76059,19-40,22-38,-,-,PTB2 Basement
23,34B,GAS,1,TRUNK,75359,75351,-,-,-,-,
24,354,GAS,1,FEEDER,77009,77009,7-08,7-09,7-08,08-15,Jln Loyang Besar
25,358,GAS,1,FEEDER,77009,77009,05-07,07-08,05-07,05-13,Pasir Ris Dr 10
26,359,GAS,1,FEEDER,77009,77009,04-08,05-11,04-11,03-12,Pasir Ris St 71
27,359,GAS,2,FEEDER,77009,77009,04-08,05-11,04-11,03-12,Pasir Ris St 71
28,36,GAS,1,TRUNK,95129,95129,08-08,08-11,07-09,07-12,Tomlinson Rd
29,36A,GAS,1,TRUNK,95129,09191,-,-,-,-,
30,36B,GAS,1,TRUNK,93049,93199,08-08,08-288,08-135,-,
31,381,GAS,1,FEEDER,65009,65009,10-10,10-12,10-12,10-15,Punggol East
32,382,GAS,1,FEEDER,65009,65009,8,8-10,8-10,8-12,Sumang Walk
33,382,GAS,2,FEEDER,65009,65009,8,8-10,8-10,8-12,Sumang Walk
34,382A,GAS,1,FEEDER,65009,65531,-,-,-,24-24,
35,382G,GAS,1,FEEDER,65009,65009,8-08,8-10,8-10,8-12,Sumang Walk
36,382W,GAS,1,FEEDER,65009,65009,08-08,08-10,08-10,08-12,Sumang Walk
37,384,GAS,1,FEEDER,65009,65009,15-15,15-15,15-15,15-20,Northshore Dr
38,386,GAS,1,FEEDER,65009,65009,07-08,10-15,07-10,07-15,Punggol Ctrl
39,386A,GAS,1,FEEDER,65009,65371,-,-,22-40,25-30,
40,3A,GAS,1,TRUNK,75009,77331,-,68-68,-,12-12,
41,403,GAS,1,TRUNK,77009,77009,13-13,13-19,14-19,14-25,Pasir Ris Rd
42,43,GAS,1,TRUNK,65009,94009,09-10,13-16,13-15,15-16,
43,43,GAS,2,TRUNK,94009,65009,10-15,14-17,10-11,13-18,
44,43e,GAS,1,EXPRESS,65009,92051,15-20,20-20,-,-,
45,43e,GAS,2,EXPRESS,92059,65009,-,-,15-20,20-20,
46,43M,GAS,1,TRUNK,65009,65009,09-10,10-18,10-12,15-16,S'goon Ctrl
47,518,GAS,1,EXPRESS,77009,77009,10-20,15-20,15-20,13-20,Bayfront Ave
48,518A,GAS,1,EXPRESS,77009,03519,30-30,-,-,-,
49,6,GAS,1,TRUNK,77009,77009,07-08,07-17,07-08,08-08,Loyang Cres
50,62,GAS,1,TRUNK,65009,65009,07-09,08-17,09-14,14-25,Sims Ave
51,62A,GAS,1,TRUNK,65009,81089,00-00,00-00,28,28,Sims Ave
52,661,GAS,1,CITY_LINK,78111,03391,20-20,-,-,-,
53,661,GAS,2,CITY_LINK,03539,78119,-,-,15-15,-,
54,666,GAS,1,CITY_LINK,65309,03391,15-15,-,-,-,
55,666,GAS,2,CITY_LINK,03539,65301,-,-,15-15,-,
56,68,GAS,1,TRUNK,77009,77009,15-15,15-15,15-15,15-15,Tampines Ctrl 1
57,68A,GAS,1,TRUNK,75469,75009,15-16,-,-,-,
58,68B,GAS,1,TRUNK,75009,75461,-,-,14-15,-,
59,82,GAS,1,TRUNK,65009,65009,15-15,15-16,15-15,15-18,S'goon Ctrl
60,83,GAS,1,TRUNK,65009,65009,14-15,14-15,13-14,13-16,Sengkang Sq
61,83T,GAS,1,TRUNK,65009,67009,-,-,-,15-15,
62,84A,GAS,1,TRUNK,65009,65729,02-06,-,-,-,
63,84G,GAS,1,TRUNK,65009,65009,10-11,08-12,10-12,12-17,New Punggol Road
64,84W,GAS,1,TRUNK,65009,65009,12-12,08-12,07-08,07-15,New Punggol Road
65,85,GAS,1,TRUNK,65009,59009,09-15,09-16,09-10,14-18,
66,85,GAS,2,TRUNK,59009,65009,10-14,10-15,09-10,11-18,
67,85A,GAS,1,TRUNK,59009,67441,-,-,39-39,-,
68,10,SBST,1,TRUNK,75009,16009,09-09,07-16,10-17,15-17,
69,10,SBST,2,TRUNK,16009,75009,09-11,09-16,08-13,13-16,
70,100,SBST,1,TRUNK,66009,11009,06-12,05-20,10-13,13-15,
71,100,SBST,2,TRUNK,11009,66009,07-08,06-13,08-10,14-15,
72,100A,SBST,1,TRUNK,66009,81089,17-45,-,19-28,15-19,
73,101,SBST,1,TRUNK,66009,66009,08-09,07-13,08-09,08-14,Buangkok Cres
74,102,SBST,1,TRUNK,64009,64009,09-11,10-13,10-12,12-16,Seletar Aerospace Dr
75,102A,SBST,1,TRUNK,67409,67991,-,-,-,-,
76,102B,SBST,1,TRUNK,67999,67401,10-10,-,-,-,
77,103,SBST,1,TRUNK,66009,59009,10-13,10-14,11-15,16-16,
78,103,SBST,2,TRUNK,59009,66009,10-11,10-15,10-12,14-17,
79,105,SBST,1,TRUNK,66009,28009,09-11,07-13,12-14,11-14,
80,105,SBST,2,TRUNK,28009,66009,07-15,08-15,10-14,11-15,
81,105B,SBST,1,TRUNK,28009,17179,14-14,-,-,-,
82,107,SBST,1,TRUNK,64009,03239,07-10,10-17,11-16,18-18,
83,107,SBST,2,TRUNK,03239,64009,14-15,10-16,09-13,13-13,
84,107M,SBST,1,TRUNK,64009,64009,14-15,13-16,15-16,13-16,Raffles Blvd
85,109,SBST,1,TRUNK,66009,99009,09-14,10-15,15-19,11-18,
86,109,SBST,2,TRUNK,99009,66009,10-15,10-15,10-13,13-18,
87,109A,SBST,1,TRUNK,66009,64611,-,-,12-19,14-28,
88,10e,SBST,1,EXPRESS,85049,03217,10-14,-,-,-,
89,10e,SBST,2,EXPRESS,03222,85041,-,-,10-10,-,
90,11,SBST,1,TRUNK,80009,80009,15-17,15-19,15-19,15-25,Rhu Cross
91,111,SBST,1,TRUNK,11009,11009,09-11,11-13,10-11,10-14,Temasek Ave
92,112,SBST,1,TRUNK,64009,64009,11-15,11-16,12-15,14-18,Hougang St 92
93,112A,SBST,1,TRUNK,64009,63031,-,-,-,15-15,
94,113,SBST,1,TRUNK,64009,64009,12-14,11-16,15-16,11-15,Upp Paya Lebar Rd
95,113A,SBST,1,TRUNK,63039,63031,15-15,-,15-20,26-26,Upp Paya Lebar Rd
96,114,SBST,1,TRUNK,67601,67609,09-11,11-15,09-13,09-20,Buangkok Cres
97,114A,SBST,1,TRUNK,67601,66579,-,-,-,16-17,Buangkok Cres
98,115,SBST,1,TRUNK,63221,63221,15-15,15-19,15-19,15-15,Hougang Ave 3
99,116,SBST,1,TRUNK,64009,64009,09-11,09-13,09-10,09-14,S'goon Ctrl
100,116A,SBST,1,TRUNK,66439,66359,30-31,-,-,-,
101,117,SBST,1,TRUNK,65009,58009,13-13,11-15,-,14-15,
102,117,SBST,2,TRUNK,58009,65009,11-11,09-15,-,12-15,
103,117A,SBST,1,TRUNK,59779,59041,15-36,-,-,-,
104,117M,SBST,1,TRUNK,65009,58009,13-14,-,10-12,-,
105,117M,SBST,2,TRUNK,58009,65009,11-15,-,10-11,-,
106,120,SBST,1,TRUNK,10499,10499,13-15,14-16,15-15,15-18,Telok Blangah Hts
107,121,SBST,1,TRUNK,03239,03239,04-09,07-12,07-07,10-13,Telok Blangah Rise
